"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000235011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232676",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000235756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000266033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213559",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234108",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000224326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234184",0,4,2,0,0,0,0,52,0,2,0,0,2,0,0,0,7,2,0,0
"ENSG00000227937",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000229752",1,2,3,3,0,0,2,4,0,0,0,2,0,2,1,3,3,1,0,1
"ENSG00000235089",0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0
"ENSG00000223026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117114",4596,8160,6267,9183,11074,6225,5245,7149,8952,8829,9553,8235,14484,6267,9447,9474,6151,10365,9195,8319
"ENSG00000224494",6,5,4,3,2,0,2,1,8,0,6,1,9,0,14,6,0,0,4,0
"ENSG00000227288",0,4,3,3,1,2,2,3,6,4,1,1,2,0,4,0,1,5,9,0
"ENSG00000227960",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0
"ENSG00000234953",0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0
"ENSG00000242598",0,1,2,1,13,0,2,2,5,2,3,3,4,3,13,7,3,1,3,3
"ENSG00000236676",0,3,0,0,2,0,0,0,2,4,0,2,1,0,6,4,0,0,2,0
"ENSG00000234683",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1
"ENSG00000215875",4,8,1,5,8,5,10,8,3,10,8,2,13,0,8,6,4,1,5,9
"ENSG00000233290",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230817",0,0,0,2,0,0,3,1,2,0,3,0,5,0,0,4,0,1,0,2
"ENSG00000236268",17,15,4,20,15,33,14,22,6,13,14,23,16,19,18,28,9,16,18,28
"ENSG00000231364",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000233008",98,45,69,48,58,57,45,67,62,81,59,74,82,76,102,116,39,110,39,44
"ENSG00000237076",3,2,6,0,7,0,0,2,3,2,4,2,8,9,1,7,5,4,0,1
"ENSG00000223231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137941",860,2337,1935,1440,189,337,709,576,1026,1170,1102,399,1460,1572,2124,1707,1004,1221,945,876
"ENSG00000233061",6,16,0,2,2,2,2,6,6,0,0,0,8,4,18,8,2,2,4,3
"ENSG00000229486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271576",179,196,324,162,256,139,133,554,482,300,430,142,294,441,548,495,265,246,212,113
"ENSG00000142875",1089,2078,1874,1917,1915,1168,1197,2283,1974,1987,1130,1637,3227,1500,2691,2702,1640,2291,1892,1476
"ENSG00000213540",2,4,0,0,2,2,2,4,8,2,3,0,0,8,2,0,7,0,2,2
"ENSG00000226970",2,3,6,4,4,1,4,5,11,10,1,2,11,3,3,6,3,8,3,6
"ENSG00000199959",0,2,0,4,0,2,2,3,1,8,2,0,1,0,2,5,0,2,0,1
"ENSG00000203943",92,124,83,109,261,109,135,225,255,117,88,161,197,90,336,202,173,176,177,99
"ENSG00000249237",0,4,0,3,0,0,1,0,2,0,4,3,0,1,0,0,1,1,2,0
"ENSG00000240520",7,7,1,10,12,3,4,10,13,8,6,3,7,3,19,19,3,11,8,7
"ENSG00000137976",4,5,4,3,2,2,0,4,6,21,4,2,8,3,8,5,10,4,8,10
"ENSG00000117133",904,1339,1680,1472,1512,1384,1124,1480,1332,1473,1101,1061,2934,1408,2255,2104,1210,2017,1741,1487
"ENSG00000174021",2431,3459,3964,3722,4453,2875,2315,3178,3749,3180,3213,2600,5290,3988,7414,7095,2504,4735,5098,3674
"ENSG00000122432",70,43,66,47,74,44,8,71,103,29,77,32,46,95,132,71,37,32,31,36
"ENSG00000117151",723,1222,772,1167,921,835,746,1187,1015,1098,1180,670,2008,1037,1349,1226,1002,1505,960,998
"ENSG00000180869",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000232622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117155",547,511,541,786,696,550,501,755,724,577,516,739,1219,409,965,1114,527,755,750,596
"ENSG00000251899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171517",1,4,34,2,0,5,0,24,19,18,2,2,4,0,2,13,29,4,8,7
"ENSG00000153898",63,13,88,54,17,47,78,369,116,113,22,25,112,45,158,49,282,59,46,35
"ENSG00000162643",53,100,33,62,11,24,23,52,179,115,58,14,83,57,62,85,37,118,90,39
"ENSG00000055732",438,472,922,995,156,196,322,432,487,556,531,208,854,334,752,556,100,337,572,471
"ENSG00000266110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000097096",270,240,258,439,290,266,376,256,320,583,339,156,470,83,240,512,129,560,396,389
"ENSG00000162642",843,1013,1429,1305,876,1007,811,1162,1319,958,1418,786,1724,1452,1338,1435,966,1317,945,1014
"ENSG00000223254",0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
"ENSG00000142867",650,509,777,651,392,512,395,711,532,611,738,496,1002,650,638,1007,631,801,790,549
"ENSG00000223653",3,3,11,6,7,8,2,16,18,2,5,5,10,7,12,5,5,5,7,3
"ENSG00000264380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153904",2688,3218,2338,1776,2838,720,1384,3159,3817,2704,1634,2632,2587,2283,5839,4759,2295,3733,2735,2216
"ENSG00000199459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273264",1,11,0,0,1,0,0,7,9,9,6,10,3,5,0,6,6,0,0,1
"ENSG00000272691",11,4,12,6,9,0,3,13,25,10,7,0,6,8,10,12,6,15,6,20
"ENSG00000142871",40752,51418,3603,4227,5290,4210,7344,58871,48658,8370,10017,6156,11944,46932,18590,5738,33051,24451,7325,17156
"ENSG00000199934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230285",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
"ENSG00000117174",1057,1586,1219,1611,958,1112,935,1531,1877,1640,1538,1034,2713,1779,1320,1809,1221,1888,1210,1567
"ENSG00000171502",87,116,400,355,50,125,223,161,59,219,141,51,245,96,174,297,215,212,244,233
"ENSG00000201620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000122417",2267,2696,3055,2994,1842,1860,1733,4115,3843,2424,4617,1519,6093,4604,4594,2712,2947,2610,1771,2552
"ENSG00000231349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000137975",8,4,6,32,2,10,16,3,2,0,6,8,8,26,11,4,12,18,9,16
"ENSG00000016490",4,8,14,10,20,2,0,5,2,3,2,4,0,11,5,4,2,4,15,38
"ENSG00000016602",6,14,5,11,15,5,1,8,5,1,29,0,0,12,11,2,2,33,26,18
"ENSG00000224466",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"ENSG00000236915",0,0,0,0,0,0,1,0,1,0,1,0,0,4,0,1,0,0,0,0
"ENSG00000221702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153923",1,1,0,0,0,6,0,3,4,0,1,5,0,1,0,1,0,0,0,0
"ENSG00000261737",20,61,27,54,33,19,26,55,49,61,32,21,27,69,51,72,30,60,32,41
"ENSG00000097033",3659,5249,5382,6982,4166,4545,4005,4622,4855,5240,4669,4422,10881,6443,6723,6205,4362,6829,5764,6277
"ENSG00000230721",0,0,1,0,2,2,0,4,4,2,10,4,2,2,2,2,1,6,1,3
"ENSG00000183291",5797,8214,8345,9134,9754,7106,7068,8929,8430,9127,6774,6441,16571,6387,13223,18756,6751,13581,11875,10741
"ENSG00000153936",1329,1565,1094,1619,1908,1417,1032,1748,1462,1594,1486,1822,2917,1466,2148,2405,1467,2123,1934,1761
"ENSG00000267734",0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,1,0
"ENSG00000224198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000235251",0,0,0,3,0,1,0,0,0,0,2,0,2,1,1,2,2,0,0,1
"ENSG00000225568",1,2,2,6,0,1,2,0,0,0,4,2,0,0,0,4,2,2,0,2
"ENSG00000267272",383,612,578,624,22,206,349,318,843,596,1129,369,1280,1726,402,366,1213,440,626,238
"ENSG00000221222",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000143013",2772,2646,4435,4319,1590,2033,2774,3626,2834,4117,3091,3212,6119,3875,4398,5330,3729,4254,3849,3337
"ENSG00000227290",0,2,2,0,0,0,0,0,0,1,0,0,5,1,0,3,1,0,1,0
"ENSG00000199318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224235",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000270507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239504",0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,2,0
"ENSG00000230053",0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"ENSG00000237505",33,16,23,3,55,44,5,23,34,34,5,15,12,10,35,17,21,13,16,21
"ENSG00000237959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000065243",2645,3101,3998,4682,2490,3881,3167,4310,4256,4046,4403,2304,8238,3335,3495,5254,2517,4862,3443,4709
"ENSG00000207234",0,0,1,1,0,1,0,0,0,0,3,1,2,0,0,1,1,0,0,0
"ENSG00000241975",34,35,17,98,13,75,71,74,70,55,45,9,103,17,12,20,21,66,18,84
"ENSG00000137947",642,902,939,1438,758,1194,1035,987,959,1440,869,670,2335,860,1312,1958,864,2020,1509,1519
"ENSG00000235308",1,5,20,18,7,20,17,35,14,22,38,3,23,23,4,17,9,16,7,13
"ENSG00000137944",1044,1170,874,1480,1523,1150,1198,1383,1417,1634,1467,937,2856,1683,2699,2101,867,1902,1593,1838
"ENSG00000213516",851,753,1028,1316,715,1063,865,1120,947,1061,941,929,1647,1095,1250,1141,672,1646,976,1142
"ENSG00000117226",376,1288,2966,858,633,261,956,1110,1576,1070,702,1440,2010,1909,1714,1082,1468,1503,777,1361
"ENSG00000202385",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1
"ENSG00000117228",12879,2955,8518,1270,457,1286,1117,5432,4489,1961,2714,1557,2121,2274,2516,1785,6140,1521,1280,1528
"ENSG00000234518",178,177,574,184,69,150,91,207,126,139,124,139,238,167,195,126,165,182,123,183
"ENSG00000162645",3827,3903,9280,1959,392,1367,1006,4145,1779,2209,4569,1609,2002,4987,4535,813,6339,1507,1547,1642
"ENSG00000213512",7,8,7,8,0,4,1,3,11,4,0,15,9,9,10,3,0,4,5,11
"ENSG00000162654",1186,2571,4460,1434,412,856,672,4764,1854,1622,1683,2765,1527,1208,1571,1378,2549,944,1026,1729
"ENSG00000154451",157,274,1399,136,18,82,183,1738,261,198,228,98,328,218,499,57,768,271,145,176
"ENSG00000238081",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233235",0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0
"ENSG00000183347",52,29,14,8,12,11,4,29,23,17,6,17,20,9,11,4,26,21,16,2
"ENSG00000215874",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2
"ENSG00000225492",310,216,1354,155,129,87,108,426,200,133,219,479,176,159,140,85,375,162,128,115
"ENSG00000197147",669,1260,510,915,354,772,557,900,1058,860,788,613,1200,1165,1064,1057,687,880,694,825
"ENSG00000231999",29,78,50,57,18,26,27,131,78,67,71,50,67,94,49,52,57,41,52,51
"ENSG00000230735",2,4,0,0,0,0,0,4,1,1,0,0,0,6,0,1,1,1,0,1
"ENSG00000171488",1250,1273,977,1564,215,763,979,2217,1334,1687,969,1340,1791,1998,978,996,1532,1371,1257,974
"ENSG00000226394",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"ENSG00000239176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231613",0,6,0,0,0,2,0,33,7,15,1,5,7,8,11,7,5,4,0,8
"ENSG00000272931",30,59,83,98,24,44,53,122,151,79,94,56,126,67,200,144,47,129,50,115
"ENSG00000171492",1048,1430,1280,1912,728,907,851,1916,1917,1964,767,1314,2950,1166,2404,2915,1080,2593,1891,1557
"ENSG00000272672",0,0,6,0,0,3,0,3,6,1,1,2,5,0,0,6,2,2,2,0
"ENSG00000252797",2,0,0,0,4,0,0,1,2,0,0,2,1,0,0,2,0,1,2,0
"ENSG00000228175",17,29,75,31,21,24,30,47,45,32,21,34,47,45,31,92,4,41,21,32
"ENSG00000162664",2356,2599,3409,3769,1838,2599,2324,3593,3514,2932,3879,1853,6051,3482,2701,3113,1894,3100,2290,2966
"ENSG00000212459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143032",0,0,2,0,0,2,0,0,8,0,1,3,0,2,0,2,0,1,0,0
"ENSG00000233593",72,71,346,64,259,106,59,201,126,80,95,143,89,126,185,163,143,138,164,72
"ENSG00000225446",0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0
"ENSG00000272094",2,0,0,0,0,0,3,0,0,2,0,2,3,2,0,0,5,0,2,2
"ENSG00000232882",3,2,6,8,12,15,7,8,12,7,8,1,21,3,16,8,2,4,7,5
"ENSG00000122482",1754,1754,1892,2507,2412,2324,1900,2226,2057,2445,2248,1807,4071,1836,2442,2760,1688,2803,2356,2528
"ENSG00000232393",0,0,0,1,0,2,0,0,3,0,2,2,2,0,0,0,0,2,1,1
"ENSG00000162669",212,376,349,416,650,293,355,514,529,291,604,204,1285,630,460,558,304,559,294,383
"ENSG00000206817",0,0,0,1,0,0,1,0,3,0,1,0,2,1,5,0,0,0,0,0
"ENSG00000215873",0,2,0,1,0,0,0,0,3,3,1,1,2,5,0,4,0,2,0,1
"ENSG00000097046",132,161,350,317,94,49,71,360,397,175,815,42,537,945,214,488,187,307,306,199
"ENSG00000241318",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ENSG00000229067",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ENSG00000203914",6,1,27,4,4,2,0,8,7,3,7,9,7,2,6,15,8,11,6,2
"ENSG00000069702",3241,5517,2860,9554,1491,6493,3152,3986,2578,5599,5591,3492,6640,6443,3993,2995,3541,8258,3103,5293
"ENSG00000239794",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137948",1,1,10,3,2,2,6,5,6,0,4,1,2,2,11,3,3,6,0,2
"ENSG00000172031",88,110,77,66,34,28,46,65,180,92,24,83,238,62,53,140,91,145,161,42
"ENSG00000233228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230667",2,0,4,7,2,1,0,3,2,0,8,8,11,4,13,1,0,5,2,16
"ENSG00000189195",34,21,68,26,88,16,18,63,28,33,58,12,27,41,45,9,45,30,27,29
"ENSG00000224678",0,6,0,0,0,0,0,0,0,2,4,2,4,0,0,2,0,2,4,0
"ENSG00000233401",3,2,2,2,0,0,0,4,0,2,6,8,0,2,0,1,3,0,0,0
"ENSG00000069712",399,314,1072,300,545,253,224,691,606,605,787,273,529,583,481,366,454,417,263,271
"ENSG00000273487",19,8,129,17,32,4,18,25,15,24,50,14,2,13,46,35,17,18,26,9
"ENSG00000226773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203910",1,1,1,3,3,3,5,5,4,2,2,1,7,0,3,9,0,1,1,1
"ENSG00000233125",0,1,2,1,0,1,2,2,0,0,0,3,18,2,0,2,0,0,0,1
"ENSG00000174842",341,370,390,780,389,368,376,512,529,418,416,401,1008,644,640,936,346,547,449,340
"ENSG00000122484",884,1190,2315,2260,1230,1960,1597,2026,1862,1763,1641,1190,3059,1480,1908,2458,1174,1772,1683,1636
"ENSG00000242764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162676",95,110,164,85,25,70,131,387,150,118,95,30,185,100,256,59,360,145,96,71
"ENSG00000067208",1190,1725,1669,1962,1002,1271,1114,1595,1983,1577,1516,1001,2589,1716,1896,2167,1346,1835,1670,1803
"ENSG00000223787",0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,2
"ENSG00000229992",11,16,1,1,0,0,1,9,8,0,4,2,0,0,0,6,4,4,3,3
"ENSG00000201317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225505",0,2,0,0,0,0,1,0,0,2,3,5,0,2,0,5,6,1,0,0
"ENSG00000234202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223896",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0
"ENSG00000122406",40957,35329,68489,47388,56502,51307,28716,64637,35929,37128,39827,54285,72796,47743,91612,47885,40143,55436,37977,50511
"ENSG00000206680",11,17,3,18,6,12,9,10,23,19,16,2,14,34,3,3,4,11,4,12
"ENSG00000251795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000207523",9,17,9,23,1,11,10,11,13,10,19,2,32,28,7,25,8,9,7,15
"ENSG00000154511",481,571,325,689,322,415,454,417,574,974,514,444,743,739,1169,1010,786,869,861,697
"ENSG00000207022",2,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0
"ENSG00000229052",12,15,2,12,0,0,15,17,17,20,12,4,25,16,22,31,9,4,4,10
"ENSG00000252121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239710",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,1,0
"ENSG00000238787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143033",1375,1186,1013,1836,1386,1384,1147,2380,2505,1806,3297,1082,3293,2774,2226,2534,1587,1820,1233,1697
"ENSG00000117500",2322,3366,5577,3915,3163,3043,2157,3214,3296,3484,3013,2524,5563,3027,7115,6080,2450,4445,3994,3998
"ENSG00000122483",160,171,409,187,124,141,144,223,219,174,216,111,280,368,223,163,169,172,162,220
"ENSG00000237003",0,0,1,0,3,3,0,2,1,1,0,0,5,2,0,0,0,0,0,2
"ENSG00000225297",0,0,0,3,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,1
"ENSG00000223745",5266,5252,3540,2146,4080,5377,3055,10053,4522,3561,5538,2105,6496,5128,6831,2406,1428,3062,1700,2256
"ENSG00000229567",2,1,0,1,0,1,1,0,3,0,0,0,0,7,1,0,0,0,1,0
"ENSG00000117505",1930,2651,3079,3649,2460,2390,2282,2865,3034,2938,2690,2420,4729,3414,3592,3959,2347,3540,3170,2780
"ENSG00000229635",3,6,0,23,6,16,8,16,7,7,4,3,30,7,9,15,1,5,10,7
"ENSG00000207379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137942",4230,3678,4810,5716,4297,4450,2692,4363,5720,6034,7465,3454,7574,5881,6921,7348,2852,5261,4766,5404
"ENSG00000212601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137936",987,1219,1323,2773,781,1488,1345,1882,1276,2525,826,1026,2226,1180,1249,3831,1025,2351,2922,2927
"ENSG00000224093",26,16,5,30,7,16,12,28,51,16,31,2,29,13,20,13,8,12,9,15
"ENSG00000230439",39,14,4,48,32,19,12,50,18,53,8,44,74,73,23,19,10,31,20,33
"ENSG00000211575",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260464",42,41,88,42,35,29,37,80,75,60,80,43,43,66,61,48,25,56,38,50
"ENSG00000067334",1382,2201,3925,3116,3146,2789,2340,2421,2187,2862,2602,2144,6176,2109,3486,3229,1867,4409,2771,3238
"ENSG00000023909",1056,1554,1141,4615,2185,2224,1443,1451,1878,3127,1380,1047,6261,2023,4197,6099,779,4219,3615,4726
"ENSG00000223490",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000234099",0,0,2,0,0,0,0,4,1,0,0,0,3,0,3,0,0,1,0,1
"ENSG00000235794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232752",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229842",0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000250890",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000236689",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
"ENSG00000226960",1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0
"ENSG00000233129",2,2,2,2,5,2,2,2,8,2,3,0,0,4,4,2,0,0,0,1
"ENSG00000198691",118,158,318,185,79,71,17,210,177,103,57,125,130,177,170,69,162,157,103,142
"ENSG00000233482",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ENSG00000137962",6509,7038,4266,10002,5510,6837,5394,9494,9631,9094,11144,5639,13574,12474,6653,9061,6409,8635,7873,10039
"ENSG00000264963",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000238389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000231363",1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178596",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000236098",0,6,1,2,0,3,3,4,0,0,2,5,11,0,1,5,0,1,1,3
"ENSG00000226835",14,0,0,0,0,0,0,4,2,0,2,1,2,5,0,2,0,1,0,4
"ENSG00000232918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117528",1592,2687,1886,3612,2033,2597,2090,2675,3089,3678,2592,1743,6370,3358,3573,4574,1657,4560,3595,3665
"ENSG00000117525",11119,13195,1201,15655,8691,6186,6486,6238,3861,7822,9683,5633,26382,9546,10961,6926,6479,12225,7740,13263
"ENSG00000223675",0,0,0,0,0,2,0,2,0,0,1,4,11,4,0,2,0,0,0,0
"ENSG00000235565",77,107,70,66,99,46,55,49,70,36,59,51,141,66,48,29,36,89,66,47
"ENSG00000224081",170,215,90,127,240,86,147,193,187,85,140,109,261,235,214,82,145,245,62,89
"ENSG00000232857",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000244433",2,4,0,0,2,0,2,1,2,4,2,0,14,3,0,1,4,2,2,0
"ENSG00000263526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143036",393,571,610,377,1826,256,230,518,519,290,346,379,515,310,476,446,442,649,377,212
"ENSG00000237416",5,8,8,3,6,0,0,2,19,6,5,0,5,2,2,5,0,1,3,0
"ENSG00000117519",11704,14789,12876,15267,6599,8575,7280,10528,12898,12338,23989,9922,19721,18815,20141,12430,12604,15446,14065,13988
"ENSG00000235501",203,265,232,241,183,179,171,295,288,221,584,256,351,460,507,259,267,242,256,235
"ENSG00000172339",269,514,432,800,423,601,529,571,678,725,296,324,1592,444,760,1069,278,1179,715,784
"ENSG00000230427",0,2,4,2,2,4,2,3,0,1,10,4,4,4,2,0,0,4,0,4
"ENSG00000152078",820,841,781,1370,2208,376,656,574,749,901,1184,584,1160,378,2062,905,347,838,709,1040
"ENSG00000231992",2,2,0,5,1,3,2,0,4,0,3,0,4,4,2,0,0,3,1,5
"ENSG00000206679",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226026",38,39,29,34,157,18,29,47,44,31,35,30,45,19,34,17,20,32,26,38
"ENSG00000122481",726,1101,1005,1346,1441,769,762,1775,1527,1284,1655,771,1868,1271,1776,1589,915,1191,899,1018
"ENSG00000228852",10,14,6,32,11,14,18,26,16,16,28,5,29,16,23,20,2,22,9,12
"ENSG00000228504",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233907",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
