"","GTEX.111VG.0526.SM.5N9BW","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11NV4.0626.SM.5N9BR","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.13NZ9.1126.SM.5MR37","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55E.0826.SM.2TC5M","GTEX.R55G.0726.SM.2TC6J","GTEX.TKQ1.0126.SM.33HB3","GTEX.YFC4.2626.SM.5P9FQ","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZYY3.1926.SM.5GZXS"
"ENSG00000223972",1,0,1,6,3,3,5,1,0,1,0,2,5,3,3,8,1,7,1,6
"ENSG00000227232",474,663,802,640,1301,426,656,1487,1002,775,834,423,489,533,134,1388,1472,1000,713,1003
"ENSG00000243485",1,0,1,4,1,1,1,1,1,2,1,0,1,1,1,1,1,2,2,1
"ENSG00000237613",0,0,0,3,0,1,1,2,0,0,1,0,3,0,2,1,0,5,0,2
"ENSG00000268020",1,0,1,1,0,1,0,0,0,0,0,2,2,0,1,1,0,3,0,0
"ENSG00000240361",1,3,0,3,1,2,1,3,1,0,0,1,1,0,0,0,1,5,0,1
"ENSG00000186092",0,0,1,1,0,0,1,0,0,1,0,0,3,1,1,3,2,4,1,4
"ENSG00000238009",3,5,3,5,5,5,3,21,15,10,6,18,7,0,3,8,38,6,18,8
"ENSG00000233750",7,12,4,16,7,22,25,22,19,2,6,6,100,28,143,40,24,32,2,12
"ENSG00000237683",427,168,225,415,1132,316,719,2079,602,580,445,325,523,466,366,410,2020,652,511,960
"ENSG00000268903",2,0,0,0,4,3,3,5,2,1,2,1,2,1,1,2,13,2,4,3
"ENSG00000239906",6,0,5,4,2,14,3,44,32,4,2,4,3,1,5,23,25,9,8,8
"ENSG00000241860",92,19,93,66,46,26,59,109,96,69,40,41,183,35,51,190,196,61,70,59
"ENSG00000222623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,3,0,1,1,0
"ENSG00000228463",9,57,22,18,92,36,62,85,39,5,66,42,21,43,16,29,52,55,7,26
"ENSG00000237094",46,36,22,26,16,48,20,14,43,11,38,14,95,16,12,100,70,62,63,29
"ENSG00000250575",5,0,6,1,2,4,2,3,6,1,1,0,2,1,1,2,5,5,1,3
"ENSG00000233653",2,5,3,7,1,6,4,5,4,5,2,2,13,8,3,17,7,12,5,3
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249",2,0,1,0,0,1,0,1,0,1,0,0,5,0,1,1,3,7,1,1
"ENSG00000269732",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"ENSG00000256186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601",0,2,0,1,0,1,2,1,1,0,0,1,0,2,1,3,0,1,0,1
"ENSG00000236743",1,1,1,3,1,1,1,3,0,0,2,0,3,0,0,2,0,6,0,4
"ENSG00000236679",3,3,1,5,1,2,1,2,1,3,0,0,7,12,19,5,0,6,1,1
"ENSG00000231709",0,6,0,6,1,3,0,6,11,2,1,2,2,0,1,5,2,8,0,4
"ENSG00000235146",2,2,0,1,19,0,3,1,0,0,1,0,2,0,0,3,1,1,1,0
"ENSG00000239664",0,1,0,0,9,1,1,0,0,0,0,0,0,3,0,2,0,2,0,0
"ENSG00000230021",10,6,8,5,11,1,2,6,6,0,7,4,13,7,2,6,2,4,2,4
"ENSG00000223659",2,0,0,0,0,1,1,1,0,0,0,0,5,0,1,1,0,6,0,0
"ENSG00000225972",87,59,45,137,23,98,16726,49,4678,37,33,25,132,76,191,258,54,192,37,66
"ENSG00000225630",31646,11972,4939,22629,8718,11291,8478,13137,8450,10398,9934,7614,12211,6664,2879,26625,12782,22596,6973,48449
"ENSG00000237973",2399,780,297,3860,242,3170,99170,887,136,232,2421,821,1117,376,1529,4056,483,33288,347,859
"ENSG00000229344",251,229,105,574,93,639,223,170,85,125,108,88,651,265,319,491,164,492,132,345
"ENSG00000240409",100,66,17,136,17,86,124,44,15,36,28,17,84,52,49,132,23,69,26,183
"ENSG00000248527",86839,25187,9271,78315,15457,38607,58178,53867,24593,24181,32781,22813,32813,33250,13566,63362,34261,130067,7805,60101
"ENSG00000198744",383,235,114,809,76,290,806,327,43,217,146,70,656,357,274,633,183,618,97,472
"ENSG00000268663",0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0
"ENSG00000185097",2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,3,0,2
"ENSG00000229376",4,15,33,29,5,22,13,19,20,13,15,25,37,5,11,23,14,10,5,19
"ENSG00000224956",292,325,161,283,195,207,201,506,284,204,217,130,218,179,74,233,331,26,243,279
"ENSG00000235373",16,17,7,28,11,28,26,17,26,24,8,8,41,14,7,27,31,10,8,16
"ENSG00000223181",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"ENSG00000240618",17,4,5,8,2,14,8,5,3,3,2,0,9,1,1,15,14,0,0,10
"ENSG00000229905",0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,1,1,2,1,0
"ENSG00000228327",90,87,88,110,43,231,93,126,196,99,75,89,140,44,51,177,313,47,56,46
"ENSG00000237491",183,221,134,175,224,174,117,196,342,90,240,108,110,92,59,245,638,277,64,94
"ENSG00000230092",8,16,12,18,18,17,16,36,23,13,19,18,13,13,4,47,92,10,15,14
"ENSG00000269831",0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,0
"ENSG00000240453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757",27,37,12,65,35,74,62,26,41,18,28,42,25,26,16,53,81,32,30,31
"ENSG00000225880",421,305,484,271,503,280,135,385,912,172,347,175,350,193,86,333,1385,278,228,411
"ENSG00000228794",865,1412,802,1954,802,1115,1183,1227,1710,1499,660,651,837,1088,334,2269,1475,1156,897,940
"ENSG00000230368",4,3,2,5,0,21,5,5,58,4,5,0,3,4,1,3,0,3,3,7
"ENSG00000234711",1,2,2,3,46,6,1,4,31,0,1,0,6,0,0,5,2,1,5,3
"ENSG00000269308",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000272438",9,7,10,8,3,0,1,3,7,3,1,2,6,3,3,8,26,0,2,10
"ENSG00000230699",47,34,79,58,38,10,24,75,1393,28,11,23,42,13,14,16,93,5,18,47
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000223764",409,470,136,247,173,15,133,305,348,176,58,117,83,119,67,89,369,90,340,274
"ENSG00000187634",876,934,1025,700,625,28,414,535,908,364,165,430,160,581,152,294,573,166,761,501
"ENSG00000268179",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188976",2461,3544,4008,4600,4305,3859,2598,4856,4272,3545,2863,3130,3182,3175,1056,6868,5100,3769,2414,2932
"ENSG00000187961",1174,696,2090,1355,1490,495,571,1220,2519,633,1411,968,1092,601,382,1241,2404,1353,656,1157
"ENSG00000187583",261,100,88,77,368,38,41,156,304,72,89,133,63,25,26,141,614,59,124,242
"ENSG00000187642",96,48,41,32,181,29,48,60,95,72,18,46,24,18,27,53,207,46,77,105
"ENSG00000272512",284,387,179,107,106,29,266,88,234,127,37,38,70,216,50,109,207,99,246,161
"ENSG00000188290",1070,531,361,387,426,182,741,561,391,616,282,254,174,547,72,319,417,528,736,617
"ENSG00000231702",4,2,9,7,0,1,4,10,2,2,15,4,25,1,2,1,5,0,4,0
"ENSG00000224969",2,4,71,10,4,1,8,5,6,1,12,2,29,2,4,4,11,8,4,10
"ENSG00000187608",1424,842,1158,663,1051,235,317,1069,1650,1034,716,732,353,1372,155,489,1231,803,834,451
"ENSG00000188157",12811,11613,24997,18902,10638,13202,12121,22658,21822,17499,10900,9633,17342,16294,2772,21067,13701,25081,9206,8115
"ENSG00000217801",235,94,193,70,298,58,87,272,158,137,361,86,229,112,45,95,483,187,106,180
"ENSG00000273443",10,5,8,3,2,3,0,5,8,0,0,0,8,2,0,5,11,1,0,3
"ENSG00000237330",5,7,0,7,5,2,3,0,6,2,4,0,7,7,3,7,2,4,1,10
"ENSG00000131591",1577,1458,738,1699,1832,1106,863,1889,1676,1267,757,640,750,880,326,1988,2165,1846,993,1447
"ENSG00000223823",17,1,1,1,27,1,3,6,48,6,16,15,9,5,15,6,81,4,4,56
"ENSG00000207730",0,0,1,2,0,2,0,1,0,0,3,1,3,0,0,2,1,0,1,0
"ENSG00000207607",0,0,2,1,1,2,0,0,0,0,1,0,0,0,0,0,4,0,1,0
"ENSG00000198976",0,1,3,2,1,4,1,1,1,0,2,1,0,0,0,2,2,2,0,1
"ENSG00000272141",29,156,362,511,158,445,290,476,283,78,478,55,305,274,120,539,501,1006,156,156
"ENSG00000205231",4,10,6,8,20,16,4,15,12,2,19,1,9,2,4,9,23,9,8,16
"ENSG00000162571",19,32,30,16,36,53,19,56,38,12,48,3,19,12,10,25,51,44,31,28
"ENSG00000186891",154,57,174,22,566,20,151,265,528,98,154,270,9,36,83,16,1312,39,138,371
"ENSG00000186827",269,167,222,95,382,187,131,421,1042,174,284,328,138,365,126,733,2053,132,239,342
"ENSG00000078808",6942,7539,10319,10552,7251,6571,6746,11418,10105,8946,5031,10329,7330,8221,2282,11375,11858,14737,7007,7151
"ENSG00000176022",837,898,766,1432,1014,1091,1064,1692,1257,1271,499,1299,623,1491,324,1471,1531,2659,817,693
"ENSG00000184163",95,34,46,66,48,105,37,64,37,32,42,41,34,47,9,120,50,93,83,53
"ENSG00000260179",24,14,36,46,13,49,25,15,25,8,29,17,25,3,18,96,28,40,10,21
"ENSG00000160087",2614,1785,4746,3557,3297,2452,2208,2714,3685,2186,2342,2710,2202,1845,718,4670,4604,4872,1664,2217
"ENSG00000230415",54,69,53,95,76,40,35,169,144,53,143,60,186,38,48,74,220,67,40,57
"ENSG00000162572",1117,881,1220,755,918,404,436,1757,1535,720,1617,575,1515,865,297,1258,2589,943,826,724
"ENSG00000131584",6091,5793,6448,7823,5850,2341,3593,6914,9033,4125,3471,3493,2594,4316,1468,4980,8329,8238,4347,5073
"ENSG00000169972",446,415,366,639,503,408,438,531,664,360,267,473,278,400,130,584,693,808,251,370
"ENSG00000127054",7659,7066,11440,10109,9282,7273,5871,11692,12536,6396,8423,5409,11132,5981,2517,13683,15686,10741,5965,7339
"ENSG00000240731",244,246,421,356,253,254,239,418,453,187,349,174,552,177,88,661,562,298,180,230
"ENSG00000224051",1810,1825,1651,1912,2174,1045,1120,1897,2313,1566,1101,1785,1227,1525,407,1546,2464,2631,1230,1415
"ENSG00000169962",165,96,376,99,733,151,208,225,710,112,170,391,122,71,93,163,1481,98,84,435
"ENSG00000107404",5578,5326,7907,7387,5436,4957,3820,7351,8266,4778,3984,3795,5249,5657,1349,6825,7338,8326,3969,5257
"ENSG00000162576",11325,12853,4614,11217,4820,6320,5424,10454,10450,9702,6480,5679,6604,12249,2803,12093,8207,10505,11482,11335
"ENSG00000175756",2563,3287,2877,4287,3626,3067,3018,3879,3764,3545,2182,3231,2088,2731,743,5072,4725,7116,1996,3260
"ENSG00000223663",0,1,4,6,3,2,3,5,0,1,0,0,8,4,1,11,6,7,0,2
"ENSG00000221978",31465,25388,32229,29740,31627,23488,19326,40671,35364,21288,27951,13873,35425,16103,7756,48556,50646,25658,19475,29759
"ENSG00000224870",768,1137,801,1556,1301,1284,1024,1425,1566,1205,739,1078,900,1066,354,1697,2125,1494,647,968
"ENSG00000242485",1876,2851,2369,3631,2793,2790,2694,2749,3231,2907,1462,2212,1877,2183,675,5682,3884,4972,1562,2199
"ENSG00000272455",273,213,488,367,363,466,259,549,552,234,459,373,476,214,191,1009,1010,484,127,247
"ENSG00000235098",724,384,166,379,1139,110,184,1135,696,657,178,448,143,442,153,267,2699,290,399,516
"ENSG00000225905",26,8,1,1,5,1,3,19,9,10,7,4,4,2,3,4,18,6,3,4
"ENSG00000205116",3,1,2,2,1,3,2,8,1,2,2,0,1,3,2,6,5,1,0,1
"ENSG00000225285",34,31,1,48,35,19,13,57,46,9,14,16,7,3,15,39,64,34,25,25
"ENSG00000179403",5941,5682,2192,9399,4762,1248,5093,9344,4309,7997,1376,7486,1759,6655,1358,4034,7290,8884,7280,4517
"ENSG00000215915",509,1025,945,769,1001,372,517,1377,1269,1186,579,272,725,991,143,1179,885,1277,820,634
"ENSG00000160072",2140,2014,2345,2743,2900,1309,1456,3157,3620,1492,2094,618,1495,1419,686,3060,4689,2765,1639,2039
"ENSG00000197785",1393,1428,1043,1767,1934,1028,984,1656,1964,1149,859,1132,677,1347,366,1827,2107,2385,803,984
"ENSG00000205090",164,92,245,121,73,83,90,151,157,173,170,62,140,123,39,103,136,120,115,110
"ENSG00000160075",3845,5114,8536,8156,5684,6494,4772,6972,6778,7536,3673,4967,6847,5956,1255,10384,6812,12753,3612,5204
"ENSG00000215014",22,28,36,23,16,15,19,50,38,34,21,15,24,14,7,38,36,23,7,21
"ENSG00000236684",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
"ENSG00000228594",1058,360,481,169,502,164,235,994,510,1165,355,390,713,1408,59,299,534,659,576,829
"ENSG00000272106",668,1352,1088,1342,1031,1783,1144,2114,1537,2033,1640,771,2095,1403,316,2785,1675,2758,864,755
"ENSG00000197530",6806,5260,10060,5602,6503,4701,4040,9521,10027,4441,6824,4112,5901,5141,1503,5754,10175,8226,4340,5435
"ENSG00000189409",40,84,51,9,44,2,10,28,32,19,15,9,15,42,12,14,54,6,39,65
"ENSG00000248333",1579,1808,2203,2436,3184,1849,1566,2258,2639,1603,1306,1448,2224,1719,592,3648,3497,1976,1292,1925
"ENSG00000272004",0,0,1,2,1,0,0,1,0,1,1,1,0,0,0,4,5,5,0,2
"ENSG00000189339",3840,3750,10847,5597,5278,3099,2387,7843,12238,5022,7924,4249,7377,3377,1486,9285,9205,5665,2765,3477
"ENSG00000269737",103,105,89,200,130,133,90,162,618,112,379,116,91,29,55,367,307,91,94,96
"ENSG00000269227",20,32,13,61,22,29,33,44,164,14,99,24,34,11,10,82,69,43,22,4
"ENSG00000215914",24,25,18,5,23,14,17,24,35,25,2,1,16,6,1,50,43,39,3,22
"ENSG00000008128",2502,2421,4444,3321,3346,2393,1172,3783,3576,1947,2050,1847,3296,1776,1094,6486,6308,2253,1646,2358
"ENSG00000227775",646,563,710,574,657,415,338,1105,1215,435,669,583,1189,357,363,835,2317,492,459,688
"ENSG00000215790",284,174,417,379,177,214,130,461,415,328,382,377,542,220,92,414,731,223,181,245
"ENSG00000008130",3823,3193,6100,6161,4403,3566,3539,4449,7043,3130,2901,4128,4163,3519,1336,7321,7921,5193,2891,4016
"ENSG00000078369",10927,16209,14461,20228,12661,10679,10002,15169,14852,19502,8018,11257,14982,16200,3583,22638,17576,21490,12757,12116
"ENSG00000231050",21,30,16,28,29,15,13,71,50,41,19,35,41,16,9,43,37,55,17,28
"ENSG00000169885",60,85,37,27,93,19,40,88,136,67,41,22,66,52,18,55,85,67,54,70
"ENSG00000178821",42,44,52,39,69,44,34,75,55,45,47,24,30,45,13,52,45,44,41,30
"ENSG00000142609",7,9,17,8,6,9,5,7,13,23,7,1,0,2,2,10,31,4,15,14
"ENSG00000233542",42,11,3,4,2,4,2,20,20,6,6,3,3,12,3,11,26,6,16,27
"ENSG00000187730",94,61,39,62,53,38,25,293,114,72,25,78,48,52,42,122,149,30,254,223
"ENSG00000226969",1,3,0,5,1,5,3,2,4,3,2,6,4,0,3,4,0,14,5,2
"ENSG00000067606",566,1395,1502,1915,1069,3861,1049,1843,1474,2616,1063,1322,3699,1801,420,3355,1397,2632,792,975
"ENSG00000271806",13,17,12,45,17,69,25,9,26,11,20,11,35,5,11,92,27,45,4,29
"ENSG00000182873",403,440,848,1001,649,1577,545,838,1026,370,668,347,737,396,370,1936,1113,1090,336,340
"ENSG00000162585",2614,2144,3781,2785,2969,1823,1955,3362,2971,2659,1773,1983,1963,1954,586,3052,3067,6169,1709,2154
"ENSG00000269554",309,189,248,720,318,352,340,365,437,287,278,223,166,161,146,768,508,651,154,220
"ENSG00000203301",47,72,41,45,49,30,30,133,103,26,40,18,63,40,20,70,89,48,31,44
"ENSG00000234396",6,6,0,4,6,1,0,9,6,4,2,1,8,3,0,5,3,7,6,3
"ENSG00000157933",7033,9901,10460,9528,7473,5907,6712,9466,9202,9074,5023,6492,5638,8814,2133,11086,11487,7287,6911,5570
"ENSG00000116151",859,827,587,636,626,1357,827,1937,1384,1196,1319,366,956,1040,151,1330,1337,709,644,477
"ENSG00000272161",14,20,27,15,35,23,12,47,60,16,27,14,53,29,6,34,28,33,28,9
"ENSG00000269753",19,42,27,33,52,22,26,87,77,38,38,40,95,24,15,114,67,36,33,6
"ENSG00000269896",226,318,800,298,292,186,190,563,707,228,533,348,847,313,115,484,817,495,252,247
"ENSG00000272420",65,33,28,60,93,31,30,67,24,24,53,12,76,7,3,85,85,110,26,51
"ENSG00000271921",13,6,8,8,7,3,5,5,15,3,2,2,4,4,2,6,10,16,4,0
"ENSG00000271847",13,15,22,24,21,9,8,29,28,18,5,26,8,38,7,62,41,55,14,4
"ENSG00000178642",32,62,61,92,64,100,50,61,135,45,38,44,89,43,7,133,70,104,39,36
"ENSG00000157916",6138,5927,8145,9682,7704,7435,5803,8718,10033,7299,5661,6135,6191,5324,2039,12093,13944,10948,4546,5985
"ENSG00000157911",552,747,519,930,661,723,617,1108,848,1036,484,471,616,709,110,942,1026,1162,465,619
"ENSG00000149527",1697,1509,625,156,2815,142,362,2809,1211,3949,782,855,362,606,372,515,4582,502,1792,1057
"ENSG00000224387",14,18,8,2,6,2,2,13,16,12,6,2,4,5,1,5,17,2,10,11
"ENSG00000229393",7,14,3,2,10,4,2,23,9,17,11,3,2,3,0,4,31,2,13,10
"ENSG00000157881",1712,1774,1811,2867,2105,1542,1486,2021,2442,1754,1477,1516,1170,1456,541,2382,2993,2748,1394,1297
"ENSG00000197921",57,107,18,5,147,0,2,12,47,93,4,8,10,28,0,8,35,38,75,11
"ENSG00000272449",173,49,114,61,234,61,66,133,337,68,139,110,75,66,33,99,433,113,72,119
"ENSG00000238164",1519,702,1143,431,1841,339,230,1870,1051,719,638,824,572,515,432,742,3708,605,696,2452
"ENSG00000157873",13240,6953,4332,5016,10335,3121,2540,12190,10544,5516,3936,4514,3459,4074,1996,5964,16809,6717,5772,8770
"ENSG00000225931",40,13,17,13,17,10,0,29,28,14,17,21,9,4,4,3,96,1,24,19
"ENSG00000228037",89,30,92,29,98,19,1,50,74,22,40,19,36,20,14,12,216,10,28,91
"ENSG00000157870",1232,981,1023,1684,1572,533,731,1780,1945,2217,869,979,1006,1694,333,1556,1952,2040,981,937
"ENSG00000142606",69,104,51,59,92,24,23,100,69,214,36,29,24,69,3,134,53,60,72,33
"ENSG00000237058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912",42,49,8,44,38,49,55,113,45,60,29,27,41,26,10,129,47,55,45,26
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717",1,0,12,1,0,0,3,2,0,0,2,0,0,0,0,0,0,1,0,1
"ENSG00000177133",2146,4819,8867,5687,3419,2578,3458,8538,6517,5637,8993,3667,11122,3765,769,5408,6239,7205,2541,1972
"ENSG00000142611",2064,2808,2549,5639,1617,2825,3802,4947,3809,4017,3885,2265,3641,3058,701,7592,2783,4499,1790,1428
"ENSG00000226286",1,7,4,0,1,6,3,5,5,5,1,3,5,0,0,12,5,1,0,0
"ENSG00000272235",2,16,28,14,8,10,13,21,11,16,10,12,13,13,8,47,19,13,22,4
"ENSG00000130762",1178,1756,2314,2981,1433,1284,1360,2638,2136,2112,2007,1193,2409,1363,341,3052,1858,3903,763,1305
"ENSG00000272088",4,12,29,14,22,36,3,11,31,10,16,6,12,16,3,36,11,29,5,3
"ENSG00000162591",3117,6049,2113,2495,2352,1882,1679,4053,5367,3340,2558,2089,2359,2125,1280,4464,6040,864,3959,4424
"ENSG00000207776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260",132,70,339,50,154,29,24,183,253,66,161,47,183,56,45,60,365,100,105,126
"ENSG00000158109",2457,3321,3161,4664,2624,3719,2668,3783,4140,4852,2379,2969,4122,3771,823,6087,3965,6020,2724,3155
"ENSG00000116213",1262,1260,1583,1608,1744,1071,978,2025,1919,1397,973,1265,1010,1177,406,1600,2850,1779,1045,1084
"ENSG00000078900",114,60,124,58,452,55,58,111,332,113,187,156,158,58,23,93,394,193,61,77
"ENSG00000227589",2,0,0,0,11,0,0,0,6,0,0,2,0,0,0,0,13,0,0,2
"ENSG00000235131",0,0,2,0,0,1,1,0,3,1,3,0,0,1,1,1,3,2,0,0
"ENSG00000227372",3836,3060,5590,3899,3487,3505,2568,5759,6750,3529,5105,3340,7870,3058,1149,5458,7154,3790,2542,3612
"ENSG00000162592",1,7,4,1,3,1,1,8,8,9,6,3,15,4,2,2,9,0,1,1
"ENSG00000235169",163,258,107,101,275,229,132,311,268,385,153,179,156,189,17,217,245,407,108,164
"ENSG00000130764",2302,2634,3415,4611,2993,3367,2985,3986,4369,3628,2543,2877,2812,2960,834,7024,4829,5615,1859,2469
"ENSG00000266075",3,9,19,10,11,8,12,17,36,9,2,11,7,11,5,17,32,13,12,11
"ENSG00000272153",59,47,111,133,94,75,62,127,167,52,78,49,67,54,20,210,208,99,37,44
"ENSG00000116198",2016,1754,4140,3080,2491,1984,1871,2159,3121,2614,1955,2004,2702,1520,577,3016,3678,3037,1435,1666
"ENSG00000169598",808,415,1583,717,1071,332,425,1083,1622,732,1143,507,1198,594,263,838,2081,708,657,812
"ENSG00000198912",1574,1688,1419,2539,1499,1370,1111,1997,1857,1920,1085,1247,1896,1248,428,3666,2125,2887,830,924
"ENSG00000236423",10,5,135,6,33,8,0,15,144,4,15,29,20,4,17,12,160,47,6,4
"ENSG00000233304",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
"ENSG00000226374",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000196581",842,277,1035,177,168,122,257,549,314,181,105,80,120,96,90,511,371,99,128,170
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697",1327,1920,3646,3364,1632,3018,2544,3376,2878,1775,1827,2326,4073,1808,592,4608,2960,4225,1174,1631
"ENSG00000266687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000069424",1990,980,978,1845,5629,782,845,3074,4018,884,1134,3804,1269,729,1872,1955,9896,890,1598,2795
"ENSG00000116254",26,85,30,42,39,43,25,50,57,75,22,6,30,7,22,75,53,34,48,108
"ENSG00000116251",10408,12143,18794,14759,12701,13111,9006,19686,16349,24349,10511,7960,18159,16746,2897,18212,24399,14751,14660,15435
"ENSG00000226944",21,41,16,17,35,27,15,50,28,79,31,7,48,24,4,85,24,55,8,24
"ENSG00000158286",2998,2532,3474,2346,2639,1327,2428,3712,4767,2120,2216,1346,3889,1690,729,4467,4709,3895,1718,1845
"ENSG00000116237",2739,4517,3572,5827,2698,3202,3452,3834,4565,6473,2235,2911,3902,5250,1065,6293,3889,6734,3261,3011
"ENSG00000225077",0,0,1,0,4,4,0,8,4,0,2,9,0,2,6,1,8,0,0,4
"ENSG00000173673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000158292",1081,348,1831,605,453,230,345,685,1002,272,421,364,462,1251,198,702,848,271,780,525
"ENSG00000097021",421,547,675,485,966,269,243,526,590,249,200,467,479,394,174,632,1167,728,466,402
"ENSG00000069812",37,7,2,10,16,1,0,2,2,2,0,3,10,3,2,9,6,1,2,9
"ENSG00000187017",68,30,34,18,88,5,11,32,36,26,28,12,13,16,4,18,39,14,25,36
"ENSG00000265392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868",1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788",1966,877,1863,434,1513,333,324,2015,3167,628,1424,721,695,598,466,655,6020,479,921,926
"ENSG00000171680",3032,3344,1978,2200,2239,1267,1238,3797,3535,2062,2484,1101,1895,1592,689,2308,4005,973,1714,1689
"ENSG00000162408",1066,869,1451,1906,1337,1294,993,1522,1937,1019,1099,1404,1156,857,500,3014,2586,2311,811,992
"ENSG00000253022",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ENSG00000229519",2,0,3,10,0,2,5,9,1,1,5,4,1,6,2,10,8,5,3,0
"ENSG00000173662",2,13,3,5,13,10,8,16,13,4,6,4,5,0,6,8,29,4,13,7
"ENSG00000204859",2316,1840,2208,2348,2770,1895,1562,2866,3400,1853,1722,1530,1673,1890,634,2866,4519,2885,1617,1664
"ENSG00000162413",5162,1866,7924,5804,2275,5392,2361,4172,5315,2637,4974,3540,8023,3000,967,8416,4796,5348,2076,4391
"ENSG00000116273",1566,948,2123,1371,1041,1904,1255,1390,1677,2090,1608,989,2776,898,357,2091,1819,1802,1203,1181
"ENSG00000041988",1674,869,2079,1255,1005,1047,782,1311,1787,1099,1090,811,1232,818,216,1466,1667,1648,759,1126
"ENSG00000007923",1127,1483,1929,2695,1234,1375,1142,1805,1883,1561,1044,1407,1546,1132,532,2725,2634,1363,869,1389
"ENSG00000228750",42,4,11,15,18,10,9,44,13,19,10,12,12,20,7,20,20,33,12,4
"ENSG00000239166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436",6,8,11,6,5,2,5,23,9,16,11,6,25,11,1,17,15,30,6,15
"ENSG00000171735",1833,1954,2360,1671,1730,1739,1139,1763,1594,2854,1105,1137,2117,1508,347,2605,1977,3675,1581,1560
"ENSG00000227950",0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,10,0,0
"ENSG00000237365",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
